duration_sum,duration_count,type_day,hs_day,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,mean_hs_dayType
79 days 16:00:29.999999931,4984,LNPH,1912.0080555555555,13.4,,19.0,11.9,,,,,,,0.3836292246299269
28 days 08:32:50.999999935,1978,LPH,680.5472222222222,13.4,,19.0,11.9,,,,,,,0.34405825188181105
101 days 12:32:50.999999919,6312,LNPH,2436.5472222222224,9.6,6.8,13.3,9.9,,,,,,,0.38601825447120125
65 days 02:52:34.999999940,4334,LPH,1562.8761111111112,9.6,6.8,13.3,9.9,,,,,,,0.36060823975798595
114 days 14:15:47.999999896,6976,LNPH,2750.2630555555556,9.2,5.0,,0.0,,,,,,,0.3942464242482161
62 days 19:47:36.999999946,4179,LPH,1507.7933333333333,9.2,5.0,,0.0,,,,,,,0.36080242482252534
162 days 18:24:03.999999842,7625,WEND,3906.400833333333,12.7,6.7,,,,,,,,,0.5123148633879782
219 days 12:34:37.999999744,8442,WEND,5268.576944444444,14.9,11.9,,0.0,,,,,,,0.6240910855774039
102 days 14:22:48.999999900,6383,LNPH,2462.38,14.7,12.0,18.6,,,,,,,,0.3857715807613975
64 days 15:28:57.999999936,4467,LPH,1551.4825,14.7,12.0,18.6,,,,,,,,0.3473209088873965
125 days 08:21:18.999999864,7516,LNPH,3008.355,13.4,9.7,17.2,5.1,,,,,,,0.40026011176157533
76 days 18:43:20.999999926,5075,LPH,1842.7222222222222,13.4,9.7,17.2,5.1,,,,,,,0.36309797482211276
126 days 13:27:04.999999880,7792,LNPH,3037.451111111111,11.1,5.8,17.0,0.0,,,,,,,0.3898166210358202
82 days 09:54:45.999999930,5372,LPH,1977.9125,11.1,5.8,17.0,0.0,,,,,,,0.36818922189128817
113 days 03:06:02.999999898,6911,LNPH,2715.1005555555557,13.2,8.3,,,,,,,,,0.3928665251852924
93 days 19:49:03.999999920,5068,LPH,2251.8175,13.2,8.3,,,,,,,,,0.4443207379636938
108 days 13:30:53.999999888,6186,LNPH,2605.514722222222,15.2,11.8,,,,,,,,,0.42119539641484355
60 days 05:40:42.999999947,3643,LPH,1445.6783333333333,15.2,11.8,,,,,,,,,0.3968373135694025
131 days 16:15:02.999999854,6524,WEND,3160.2505555555554,17.9,,,,,,,,,,0.4844038251924518
146 days 06:07:46.999999844,6091,WEND,3510.1294444444443,9.7,7.2,25.2,10.9,,,,,,,0.5762813075758405
147 days 22:35:34.999999816,6993,WEND,3550.592777777778,7.4,3.0,13.0,0.0,,,,,,,0.5077352749574972
111 days 06:54:11.999999864,6971,LNPH,2670.9030555555555,7.8,2.4,,0.0,,,,,,,0.3831448939256284
71 days 19:28:56.999999925,4730,LPH,1723.4822222222222,7.8,2.4,,0.0,,,,,,,0.3643725628376791
133 days 16:09:48.999999906,8174,LNPH,3208.1633333333334,10.8,4.4,,,,,,,,,0.3924838920153332
82 days 05:36:15.999999935,5307,LPH,1973.6041666666667,10.8,4.4,,,,,,,,,0.37188697318007663
125 days 07:33:56.999999888,7698,LNPH,3007.5655555555554,12.3,9.5,16.3,,,,,,,,0.39069440836003577
80 days 16:22:39.999999948,5298,LPH,1936.3775,12.3,9.5,16.3,,,,,,,,0.36549216685541713
102 days 05:29:54.999999891,6533,LNPH,2453.4983333333334,11.8,9.3,14.6,,,,,,,,0.3755546201336803
72 days 04:08:12.999999953,4758,LPH,1732.1366666666668,11.8,9.3,14.6,,,,,,,,0.36404721871934986
187 days 05:01:25.999999820,8431,WEND,4493.023611111111,9.4,3.6,,,,,,,,,0.5329170455593774
228 days 02:37:50.999999736,8763,WEND,5474.6305555555555,12.1,6.0,,,,,,,,,0.6247438725956357
135 days 07:14:41.999999900,8219,LNPH,3247.244722222222,16.1,9.6,,0.0,,,,,,,0.39509000148706924
87 days 11:58:20.999999914,5689,LPH,2099.972222222222,16.1,9.6,,0.0,,,,,,,0.3691285326458468
147 days 07:45:08.999999902,8615,LNPH,3535.7522222222224,16.7,11.6,22.6,,,,,,,,0.4104181337460502
91 days 16:53:45.999999917,5985,LPH,2200.8958333333335,16.7,11.6,22.6,,,,,,,,0.3677353104984684
147 days 21:48:32.999999884,8772,LNPH,3549.8088888888888,17.9,10.9,,,,,,,,,0.40467497593352586
77 days 21:03:29.999999937,5306,LPH,1869.0580555555555,17.9,10.9,,,,,,,,,0.35225368555513675
82 days 16:22:44.999999891,5478,LNPH,1984.378888888889,14.8,,25.5,0.0,,,,,,,0.3622451421849012
30 days 16:33:26.999999959,2229,LPH,736.5572222222222,14.8,,25.5,0.0,,,,,,,0.3304428991575694
101 days 01:56:45.999999840,6042,LNPH,2425.945833333333,8.6,6.0,13.6,14.0,,,,,,,0.40151370958843646
52 days 03:35:37.999999936,3150,LPH,1251.5936111111112,8.6,6.0,13.6,14.0,,,,,,,0.3973313051146385
162 days 14:41:39.999999888,8035,WEND,3902.6941666666667,10.3,7.0,,0.0,,,,,,,0.4857117817880108
210 days 10:28:13.999999728,8165,WEND,5050.4702777777775,12.3,7.4,,,,,,,,,0.6185511669048105
113 days 11:47:36.999999896,7262,LNPH,2723.7933333333335,13.6,10.0,17.4,,,,,,,,0.3750748186909024
77 days 07:48:15.999999936,5061,LPH,1855.8041666666666,13.6,10.0,17.4,,,,,,,,0.36668724889679244
138 days 04:58:41.999999888,8329,LNPH,3316.9780555555553,14.2,9.1,,,,,,,,,0.3982444537826336
85 days 19:32:48.999999940,5494,LPH,2059.5466666666666,14.2,9.1,,,,,,,,,0.37487198155563645
147 days 14:23:13.999999884,8634,LNPH,3542.3869444444445,17.2,13.0,,,,,,,,,0.41028340797364427
91 days 09:15:35.999999940,5942,LPH,2193.259722222222,17.2,13.0,,,,,,,,,0.36911136355136687
153 days 03:21:42.999999864,8704,LNPH,3675.3616666666667,18.7,14.0,,,,,,,,,0.4222612208946078
96 days 06:41:21.999999918,5953,LPH,2310.6891666666666,18.7,14.0,,,,,,,,,0.3881554118371689
153 days 11:55:51.999999900,9197,LNPH,3683.9308333333333,18.1,14.2,25.0,,,,,,,,0.4005578811931427
83 days 17:09:49.999999939,5423,LPH,2009.163611111111,18.1,14.2,25.0,,,,,,,,0.37048932530169854
199 days 09:56:19.999999818,9686,WEND,4785.938611111111,16.8,15.0,21.5,,,,,,,,0.49410887994126684
190 days 22:57:43.999999850,8133,WEND,4582.961944444444,15.2,13.2,19.4,,,,,,,,0.5635020219407899
106 days 04:36:45.999999912,6468,LNPH,2548.6125,14.7,12.8,17.7,4.1,,,,,,,0.3940340909090909
70 days 21:05:51.999999918,4529,LPH,1701.0975,14.7,12.8,17.7,4.1,,,,,,,0.37560112607639656
120 days 06:52:05.999999892,7139,LNPH,2886.8680555555557,16.0,13.0,,0.0,,,,,,,0.4043798929199546
76 days 20:25:36.999999944,4789,LPH,1844.4266666666667,16.0,13.0,,0.0,,,,,,,0.38513816384770655
114 days 10:09:24.999999896,7142,LNPH,2746.1566666666668,16.4,13.9,20.6,,,,,,,,0.3845080743022496
70 days 19:14:15.999999940,4740,LPH,1699.2375,16.4,13.9,20.6,,,,,,,,0.35848892405063293
